Number of hit	Text ID	Context before	Query item	Context after	Tagged context before	Tagged query item	Tagged context after	URL	Matchbegin corpus position	Matchend corpus position
11	bso_001_1866_009_185_188_e49	Pyramide , des Ke- gels und Cylin Vers ; dieselben	durchschnitten	und deren Oberfläche auf eine Ebene entwickelt als Netz gezeichnet	Pyramide_NN ,_$, des_ART Ke-_TRUNC gels_VVFIN und_KON Cylin_NE Vers_NN ;_$. dieselben_PDAT	durchschnitten_VVPP	und_KON deren_PDAT Oberfläche_NN auf_APPR eine_ART Ebene_NN entwickelt_VVPP als_KOKOM Netz_NE gezeichnet_VVPP	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=10	3032839	3032839
12	gdv_001_1833_003_15_305_e20	Liegenschaften und Gebäuden/ nach den gegenwärtig bestehenden Pachtverträgen und nach	Durchschnitten	d. Von den Pfarrgütern/ nach den daherigen Etats Hievon werden	Liegenschaften_NN und_KON Gebäuden/_NN nach_APPR den_ART gegenwärtig_ADJD bestehenden_ADJA Pachtverträgen_NN und_KON nach_APPR	Durchschnitten_NN	d._ART Von_APPR den_ART Pfarrgütern/_NN nach_APPR den_ART daherigen_ADJA Etats_NN Hievon_NE werden_VAINF	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=11	4069807	4069807
13	slz_002_1867_012_259_266_e35	gemacht , einzelne von mehreren Seiten aus und nach verschiedenen	Durchschnitten	, so daß eine vollständige Anschauung möglich ist . Ebenso	gemacht_VVPP ,_$, einzelne_ADJA von_APPR mehreren_PIAT Seiten_NN aus_PTKVZ und_KON nach_APPR verschiedenen_ADJA	Durchschnitten_NN	,_$, so_ADV daß_KOUS eine_ART vollständige_ADJA Anschauung_NN möglich_ADJD ist_VAFIN ._$. Ebenso_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=12	5713036	5713036
14	slz_001_1856_001_246_278_e11	3. ein Cylinder , wo möglich parallel mit der Grundfläche	durchschnitten	; 4. mehrere Pyramiden , darunter ein Tetraeder und etwa	3._ADJA ein_ART Cylinder_NN ,_$, wo_PWAV möglich_ADJD parallel_ADJD mit_APPR der_ART Grundfläche_NN	durchschnitten_VVPP	;_$. 4._ADJA mehrere_PIAT Pyramiden_NN ,_$, darunter_PAV ein_ART Tetraeder_NN und_KON etwa_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=13	5834263	5834263
15	slz_001_1856_001_246_278_e11	durchschnittene ; 5. ein Kegel , parallel mit der Grundfläche	durchschnitten	; K. eine Kugel , wo möglich zweimal , nach	durchschnittene_ADJA ;_$. 5._ADJA ein_ART Kegel_NN ,_$, parallel_ADJD mit_APPR der_ART Grundfläche_NN	durchschnitten_VVPP	;_$. K._NE eine_ART Kugel_NN ,_$, wo_PWAV möglich_ADJD zweimal_ADV ,_$, nach_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=14	5834289	5834289
16	slz_001_1856_001_246_278_e11	möglich zweimal , nach einem größten und einem kleineren Kreise	durchschnitten	. Wünschenswerth find ferner : Einige Drahtnetze , welche nur	möglich_ADJD zweimal_ADV ,_$, nach_APPR einem_ART größten_ADJA und_KON einem_ART kleineren_ADJA Kreise_NN	durchschnitten_VVPP	._$. Wünschenswerth_NE find_VVFIN ferner_ADJD :_$. Einige_PIAT Drahtnetze_NN ,_$, welche_PRELS nur_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=15	5834306	5834306
17	dsr_003_1801_004_235_236_e1098	fände sich der Canton durch einen Distrikt des CantvnS Zürich	durchschnitten	, lind dadurch im Zusammenhang unterbrochen . — Diese geographische	fände_VVFIN sich_PRF der_ART Canton_NN durch_APPR einen_ART Distrikt_NN des_ART CantvnS_NE Zürich_NE	durchschnitten_VVPP	,_$, lind_ADJD dadurch_PAV im_APPRART Zusammenhang_NN unterbrochen_VVPP ._$. —_NN Diese_PDAT geographische_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=16	6066891	6066891
18	gdv_001_1834_004_11_323_e15	Liegenschaften und Gebäuden/ nach den gegenwärtig bestehenden Pachtverträgen und nach	Durchschnitten	b. Von den Pfarrgütern nach den daherigen Etats Hievo »	Liegenschaften_NN und_KON Gebäuden/_NN nach_APPR den_ART gegenwärtig_ADJD bestehenden_ADJA Pachtverträgen_NN und_KON nach_APPR	Durchschnitten_NN	b._APPR Von_APPR den_ART Pfarrgütern_NN nach_APPR den_ART daherigen_ADJA Etats_NN Hievo_NE »_$(	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=17	6351175	6351175
19	dns_002_1811_006_276_288_e449	»nd Wiesen wurden bei Anlegung derselben hie und , da	durchschnitten	, dies ver¬ ursachte damals viel Murrens , jetzt aber	»nd_NE Wiesen_NN wurden_VAFIN bei_APPR Anlegung_NN derselben_PDS hie_VVFIN und_KON ,_$, da_ADV	durchschnitten_VVPP	,_$, dies_PDS ver¬_VVFIN ursachte_ADJD damals_ADV viel_PIAT Murrens_NN ,_$, jetzt_ADV aber_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=18	6463185	6463185
20	apm_001_1838_014_85_90_e297	möglichen Richtungen , und auf sehr kleine Abstände , ganz	durchschnitten	, so daß das Pulver nur geringe Wirkungen hervorzubringen vermochte	möglichen_ADJA Richtungen_NN ,_$, und_KON auf_APPR sehr_ADV kleine_ADJA Abstände_NN ,_$, ganz_ADV	durchschnitten_VVPP	,_$, so_ADV daß_KOUS das_ART Pulver_NN nur_ADV geringe_ADJA Wirkungen_NN hervorzubringen_VVIZU vermochte_VVFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=19	6689095	6689095
21	bso_001_1867_010_37_40_e12	, daß der Lehrstoff eines und desselben Faches nicht selten	durchschnitten	, ja daß sogar Fremdartiges zwischen hinein geschoben werden mußte	,_$, daß_KOUS der_ART Lehrstoff_NN eines_PIS und_KON desselben_PDAT Faches_NN nicht_PTKNEG selten_ADJD	durchschnitten_VVPP	,_$, ja_ADV daß_KOUS sogar_ADV Fremdartiges_NN zwischen_APPR hinein_ADV geschoben_VVPP werden_VAINF mußte_VMFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=20	7651041	7651041
22	slz_002_1867_012_243_250_e33	Schweiz , auch ein geologisches mit verti- kalen und horizontalen	Durchschnitten	zur Versinnlichung der Lagerung ! namentlich aber zieht den Beschauer	Schweiz_NE ,_$, auch_ADV ein_ART geologisches_ADJA mit_APPR verti-_TRUNC kalen_ADJA und_KON horizontalen_ADJA	Durchschnitten_NN	zur_APPRART Versinnlichung_NN der_ART Lagerung_NN !_$. namentlich_ADJD aber_ADV zieht_VVFIN den_ART Beschauer_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=21	7932408	7932408
23	dns_002_1812_007_263_302_e469	, dünnen Messer in die Länge und in die Quere	durchschnitten	, damit das heiße Wasser dazwischen trete , und die	,_$, dünnen_ADJA Messer_NN in_APPR die_ART Länge_NN und_KON in_APPR die_ART Quere_NN	durchschnitten_VVPP	,_$, damit_KOUS das_ART heiße_ADJA Wasser_NN dazwischen_PAV trete_VVFIN ,_$, und_KON die_ART	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=22	8027907	8027907
24	skz_001_1840_009_261_268_e465	dem Herzen des Volkes erlöscht , sind die alten Traditionen	durchschnitten	, dann fällt ja die Hierarchie von selbst , und	dem_ART Herzen_NN des_ART Volkes_NN erlöscht_VVFIN ,_$, sind_VAFIN die_ART alten_ADJA Traditionen_NN	durchschnitten_VVPP	,_$, dann_ADV fällt_VVFIN ja_ADV die_ART Hierarchie_NN von_APPR selbst_ADV ,_$, und_KON	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=23	9303003	9303003
25	btb_001_1859_008_10_51_e296	lese seine Schil¬ derung der Seeschlacht : Wir nahen !	durchschnitten	die rauschende Fluth ! Die Kräfte gespannet mit griechischem Muth	lese_VVFIN seine_PPOSAT Schil¬_ADJA derung_NN der_ART Seeschlacht_NN :_$. Wir_PPER nahen_VVFIN !_$.	durchschnitten_VVFIN	die_ART rauschende_ADJA Fluth_NN !_$. Die_ART Kräfte_NN gespannet_VVFIN mit_APPR griechischem_ADJA Muth_NE	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=24	9390693	9390693
26	bmb_001_1866_017_56_66_e260	die allge¬ meine Bildung von Längsstriemcn , unregelmäßig durch Querslricmen	durchschnitten	, die auf der Membrane ( Darmschleimhant ) ei »	die_ART allge¬_ADJA meine_PPOSAT Bildung_NN von_APPR Längsstriemcn_NE ,_$, unregelmäßig_ADJD durch_APPR Querslricmen_NN	durchschnitten_VVPP	,_$, die_PRELS auf_APPR der_ART Membrane_NN (_$( Darmschleimhant_NE )_$( ei_ADJA »_$(	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=25	9605289	9605289
27	slz_002_1870_015_169_176_e23	) Nenne die Länder und Inseln , welche vom Aequator	durchschnitten	werden und beschreibe das größte Land und die größte Insel	)_$( Nenne_VVFIN die_ART Länder_NN und_KON Inseln_NN ,_$, welche_PRELS vom_APPRART Aequator_NN	durchschnitten_VVPP	werden_VAFIN und_KON beschreibe_VVFIN das_ART größte_ADJA Land_NN und_KON die_ART größte_ADJA Insel_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=26	10650888	10650888
28	slz_001_1856_001_212_245_e10	18 Körpern aus Ahornholz : 5 Würfel , zum Theil	durchschnitten	; à Prismen ( drei- , vier- , fünf- ,	18_CARD Körpern_NN aus_APPR Ahornholz_NN :_$. 5_CARD Würfel_NN ,_$, zum_APPRART Theil_NN	durchschnitten_VVPP	;_$. à_FM Prismen_NN (_$( drei-_TRUNC ,_$, vier-_TRUNC ,_$, fünf-_TRUNC ,_$,	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=27	11392892	11392892
29	slz_001_1856_001_212_245_e10	Spcutel ( Keile ) ; 4 Pyramiden , zum Theil	durchschnitten	( drei- , vier- , fünf- , sechsseitig ) ;	Spcutel_NN (_$( Keile_NN )_$( ;_$. 4_CARD Pyramiden_NN ,_$, zum_APPRART Theil_NN	durchschnitten_VVPP	(_$( drei-_TRUNC ,_$, vier-_TRUNC ,_$, fünf-_TRUNC ,_$, sechsseitig_ADJD )_$( ;_$.	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=28	11392920	11392920
30	ass_001_1840_006_481_526_e811	die Geraden und 6 » von der Geraden k ?	durchschnitten	sind ; welche Lage haben in Bezug auf die Pa¬	die_ART Geraden_NN und_KON 6_CARD »_$( von_APPR der_ART Geraden_NN k_VVFIN ?_$.	durchschnitten_VVPP	sind_VAFIN ;_$. welche_PWAT Lage_NN haben_VAFIN in_APPR Bezug_NN auf_APPR die_ART Pa¬_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=29	12502290	12502290
31	ass_001_1840_006_481_526_e811	u ? II. Wenn zwei Parallelen von einer dritten Geraden	durchschnitten	werden , so entstehen 8 W. , welche man nach	u_ADJD ?_$. II._NE Wenn_KOUS zwei_CARD Parallelen_NN von_APPR einer_ART dritten_ADJA Geraden_NN	durchschnitten_VVPP	werden_VAINF ,_$, so_ADV entstehen_VVFIN 8_CARD W._NE ,_$, welche_PRELS man_PIS nach_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=30	12502394	12502394
32	ass_001_1840_006_481_526_e811	2 ) nur 2 sind gleichst und von der dritten	durchschnitten	; 3 ) alle 3 durchschneiden sich in einer Kante	2_CARD )_$( nur_ADV 2_CARD sind_VAFIN gleichst_ADJD und_KON von_APPR der_ART dritten_ADJA	durchschnitten_VVPP	;_$. 3_CARD )_$( alle_PIAT 3_CARD durchschneiden_VVFIN sich_PRF in_APPR einer_ART Kante_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=31	12509471	12509471
33	ass_001_1840_006_481_526_e811	senkrechte Kegel in einer mit der Grundfläche un- glcichlaufenden Ebene	durchschnitten	, so ist der Durch¬ schnitt nicht kreisförmig , sondern	senkrechte_ADJA Kegel_NN in_APPR einer_ART mit_APPR der_ART Grundfläche_NN un-_TRUNC glcichlaufenden_ADJA Ebene_NN	durchschnitten_VVPP	,_$, so_ADV ist_VAFIN der_ART Durch¬_NN schnitt_VVFIN nicht_PTKNEG kreisförmig_ADJD ,_$, sondern_KON	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=32	12513003	12513003
34	dns_002_1808_004_242_274_e446	mag ; das östliche Ufcr gegen das Nolla-Thal ist zwar	durchschnitten	, und würde dem See Abfluß geben , wenn sein	mag_VMFIN ;_$. das_ART östliche_ADJA Ufcr_NN gegen_APPR das_ART Nolla-Thal_NE ist_VAFIN zwar_ADV	durchschnitten_VVPP	,_$, und_KON würde_VAFIN dem_ART See_NN Abfluß_NN geben_VVINF ,_$, wenn_KOUS sein_PPOSAT	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=33	12678975	12678975
35	ass_001_1841_007_213_279_e653	. l> . Werden 2 gleichlaufende Ebenen von einer 3ten	durchschnitten	, so sind ihre Durchschnitte ft und ihre Richtungsw .	._$. l>_NN ._$. Werden_VAFIN 2_CARD gleichlaufende_ADJA Ebenen_NN von_APPR einer_ART 3ten_NN	durchschnitten_VVPP	,_$, so_ADV sind_VAFIN ihre_PPOSAT Durchschnitte_NN ft_NE und_KON ihre_PPOSAT Richtungsw_NN ._$.	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=34	13102906	13102906
36	ass_001_1841_007_213_279_e653	Scheitel bis zu einem Punkte des Um¬ fangs der Grundfläche	durchschnitten	, vom Kegel abge- wikkelt und in einer Ebene ausgebreitet	Scheitel_NN bis_KON zu_APPR einem_ART Punkte_NN des_ART Um¬_ADJA fangs_NN der_ART Grundfläche_NN	durchschnitten_VVPP	,_$, vom_APPRART Kegel_NN abge-_TRUNC wikkelt_VVFIN und_KON in_APPR einer_ART Ebene_NN ausgebreitet_VVPP	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=35	13104519	13104519
37	bsf_001_1862_002_179_185_e124	wird seiner ganzen Länge nach im Westen von den Anden	durchschnitten	und es bilden sich da- durch die herrlichsten Stufen- und	wird_VAFIN seiner_PPOSAT ganzen_ADJA Länge_NN nach_APPR im_APPRART Westen_NN von_APPR den_ART Anden_NE	durchschnitten_VVPP	und_KON es_PPER bilden_VVFIN sich_PRF da-_TRUNC durch_APPR die_ART herrlichsten_ADJA Stufen-_TRUNC und_KON	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=36	15261195	15261195
38	bsf_001_1866_006_39_42_e23	Gegend ist sehr schön , da sie von schiffbaren Strömen	durchschnitten	ist , so kann sie bewässert werden und es gibt	Gegend_NN ist_VAFIN sehr_ADV schön_ADJD ,_$, da_KOUS sie_PPER von_APPR schiffbaren_ADJA Strömen_NN	durchschnitten_VVPP	ist_VAFIN ,_$, so_ADV kann_VMFIN sie_PPER bewässert_VVPP werden_VAFIN und_KON es_PPER gibt_VVFIN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=37	15453854	15453854
39	syn_001_1870_000_31_56_e187	mit Schattirung , 6. für ein Blatt mit Profilen und	Durchschnitten	, 7. ein Blatt mit Kärrchen der nämlichen Gegend in	mit_APPR Schattirung_NN ,_$, 6._ADJA für_APPR ein_ART Blatt_NN mit_APPR Profilen_NN und_KON	Durchschnitten_NN	,_$, 7._ADJA ein_ART Blatt_NN mit_APPR Kärrchen_NN der_ART nämlichen_ADJA Gegend_NN in_APPR	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=38	16678265	16678265
40	skz_004_1862_000_247_250_e520	hat sich der Familienvater Samuel Merz von Mcnzikon den Hals	durchschnitten	. P Es war im 11. Jahrhunderte , - da	hat_VAFIN sich_PRF der_ART Familienvater_NN Samuel_NE Merz_NN von_APPR Mcnzikon_NN den_ART Hals_NN	durchschnitten_VVPP	._$. P_NN Es_PPER war_VAFIN im_APPRART 11._ADJA Jahrhunderte_NN ,_$, -_$( da_ADV	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=39	17666304	17666304
41	bso_002_1869_002_145_148_e39	Wird eine Pyramide von einer Ebene parallel mit der Grundfläche	durchschnitten	, so ist das oben abgeschnittene Stück wieder eine Pyramide	Wird_VAFIN eine_ART Pyramide_NN von_APPR einer_ART Ebene_NN parallel_ADJD mit_APPR der_ART Grundfläche_NN	durchschnitten_VVPP	,_$, so_ADV ist_VAFIN das_ART oben_ADV abgeschnittene_ADJA Stück_NN wieder_ADV eine_ART Pyramide_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=40	17831491	17831491
42	bso_002_1869_002_145_148_e39	auSläust . 112. Wird der Kegel parallel mit der Grundfläche	durchschnitten	, so ist das oben abgeschnittene Stück wieder ein Kegel	auSläust_VVFIN ._$. 112._ADJA Wird_VAFIN der_ART Kegel_NN parallel_ADJD mit_APPR der_ART Grundfläche_NN	durchschnitten_VVPP	,_$, so_ADV ist_VAFIN das_ART oben_ADV abgeschnittene_ADJA Stück_NN wieder_ADV ein_ART Kegel_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=41	17831547	17831547
43	bmb_001_1859_010_14_27_e207	bei Anlage von größeren Weg- und Straßenbauten , Eisenbahnen ,	Durchschnitten	, Tunnelanlagen . Viele neuern Beispiele zeigen , wie man	bei_APPR Anlage_NN von_APPR größeren_ADJA Weg-_TRUNC und_KON Straßenbauten_NN ,_$, Eisenbahnen_NN ,_$,	Durchschnitten_NN	,_$, Tunnelanlagen_NN ._$. Viele_PIAT neuern_ADJA Beispiele_NN zeigen_VVINF ,_$, wie_KOUS man_PIS	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=42	18530195	18530195
44	btb_001_1854_003_94_133_e337	gras¬ reiche Triften , von den Gräben ungestüm herunterbrausender Gletscherwasser	durchschnitten	, breiteten sich vor uns aus . Die junge Reuß	gras¬_ADJA reiche_ADJA Triften_NN ,_$, von_APPR den_ART Gräben_NN ungestüm_ADJD herunterbrausender_ADJA Gletscherwasser_NN	durchschnitten_VVPP	,_$, breiteten_VVFIN sich_PRF vor_APPR uns_PPER aus_PTKVZ ._$. Die_ART junge_ADJA Reuß_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=43	20449179	20449179
45	skz_001_1841_010_394_401_e479	( in Polen ) die Masurenstraße von der heiligen Kreuzstraße	durchschnitten	wird , liegt auf einem geräumigen , noch wenig angebauten	(_$( in_APPR Polen_NE )_$( die_ART Masurenstraße_NN von_APPR der_ART heiligen_ADJA Kreuzstraße_NN	durchschnitten_VVPP	wird_VAFIN ,_$, liegt_VVFIN auf_APPR einem_ART geräumigen_ADJA ,_$, noch_ADV wenig_PIAT angebauten_ADJA	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=44	20796773	20796773
46	bsf_001_1861_001_46_47_e29	sich die Pyramide ergänzt und von der Spitze an senkrecht	durchschnitten	, so erhält man ein größeres und ein kleineres Dreieck	sich_PRF die_ART Pyramide_NN ergänzt_VVPP und_KON von_APPR der_ART Spitze_NN an_APPR senkrecht_ADJD	durchschnitten_VVPP	,_$, so_ADV erhält_VVFIN man_PIS ein_ART größeres_ADJA und_KON ein_ART kleineres_ADJA Dreieck_NN	https://tools.linguistik.zhaw.ch/CQPweb/s_al_de_bildevo_v2/context.php?qname=hepngmbmj3z&batch=45	22529928	22529928
